mode,cores,threads,pf,stage,count,avg,std,p50,p90,p99,p999,trimmed_mean
mmap,4,4,0.0,4_block_layer,77,4024.7416000544213,3123.638186526063,2896.309375740099,8109.666252072309,11585.237502960395,11585.237502960395,4024.7416000544213
mmap,4,4,0.0,5_driver_ssd,96,302422.9706501953,199070.65087327946,185363.80004736633,741455.2001894653,741455.2001894653,741455.2001894653,302422.9706501953
mmap,4,4,0.0,6_context_switch,87,139707910.43016818,1294887665.101434,11585.237502960395,370727.60009473265,1701357931.4587576,11103337593.059845,139707910.43016818
mmap,2,2,0.0,1_user_space,2,6074003896.261476,6073998103.642724,6074003896.261476,10933202379.175655,12026522037.831345,12135854003.696915,6074003896.261476
mmap,2,2,0.0,2_kernel_entry,988,1499.4557142622075,1407.8427327498973,1448.1546878700494,2896.309375740099,5792.618751480198,23170.47500592079,1425.0140717236725
mmap,2,2,0.0,3_filesystem,27,190405.52377550653,261714.12765033348,46340.95001184158,741455.2001894653,741455.2001894653,741455.2001894653,190405.52377550653
mmap,2,2,0.0,4_block_layer,101,4330.125898383711,3405.3519730832963,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,4293.266675655145
mmap,2,2,0.0,5_driver_ssd,126,299561.1411479759,366170.4126970036,185363.80004736633,370727.60009473265,2409729.400615762,2965820.800757861,280381.4334385818
mmap,2,2,0.0,6_context_switch,73,166694903.96982184,1412010665.2909088,11585.237502960395,1482910.4003789306,3402508255.461462,11273452625.460064,166694903.96982184
fread,2,4,0.0,1_user_space,4,46340.95001184158,0.0,46340.95001184158,46340.95001184158,46340.95001184158,46340.95001184158,46340.95001184158
fread,2,4,0.0,2_kernel_entry,4066152,594.9662336063145,322.9176741822285,724.0773439350247,724.0773439350247,724.0773439350247,724.0773439350247,589.4175612757956
fread,2,4,0.0,3_filesystem,37,67476.18059156663,144876.30177878856,11585.237502960395,185363.80004736633,607993.2641553618,728109.006586057,67476.18059156663
fread,2,4,0.0,4_block_layer,36,5370.240300851434,4164.31912535264,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,5370.240300851434
fread,2,4,0.0,5_driver_ssd,72,11036225.970181216,53744635.05822428,185363.80004736633,370727.60009473265,244858165.3105702,366148372.77836293,11036225.970181216
fread,2,4,0.0,6_context_switch,6757,4710081.865855512,147738243.3693597,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2939260.292491978
fread,4,4,1.0,1_user_space,4,46340.95001184158,0.0,46340.95001184158,46340.95001184158,46340.95001184158,46340.95001184158,46340.95001184158
fread,4,4,1.0,2_kernel_entry,6923247,583.2496387853988,344.59058931483077,724.0773439350247,724.0773439350247,724.0773439350247,724.0773439350247,577.6270301686037
fread,4,4,1.0,3_filesystem,36,66776.02171845228,144664.0485197461,11585.237502960395,185363.80004736633,611700.5401563083,728479.734186151,66776.02171845228
fread,4,4,1.0,4_block_layer,31,5442.258746350349,4181.288934901294,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,5442.258746350349
fread,4,4,1.0,5_driver_ssd,67,138331.19406519868,121719.16933450293,185363.80004736633,370727.60009473265,370727.60009473265,370727.60009473265,138331.19406519868
fread,4,4,1.0,6_context_switch,154,78901071.94187438,975728979.2332323,11585.237502960395,23170.47500592079,136242.39303481416,10289386054.580366,18140.042932266933
fread,1,1,0.0,1_user_space,1,46340.95001184158,0.0,46340.95001184158,46340.95001184158,46340.95001184158,46340.95001184158,46340.95001184158
fread,1,1,0.0,2_kernel_entry,2578489,368.4381557702124,217.84902278395552,362.03867196751236,362.03867196751236,362.03867196751236,724.0773439350247,362.03867196751423
fread,1,1,0.0,3_filesystem,47,72839.09961967653,240572.15609520767,5792.618751480198,129754.6600331563,1141841.0082917758,1448803.461170221,72839.09961967653
fread,1,1,0.0,4_block_layer,52,3676.084976900895,3642.172028990036,2172.2320318050743,11585.237502960395,11585.237502960395,11585.237502960395,3676.084976900895
fread,1,1,0.0,5_driver_ssd,100,204363.5895522213,169853.33179155248,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,200850.18895438476
fread,1,1,0.0,6_context_switch,83,146398528.68025583,1325355387.2563279,11585.237502960395,92681.90002368316,2186792358.298705,11151881035.743736,146398528.68025583
mmap,2,4,0.5,1_user_space,2,6074003896.261476,6073998103.642724,6074003896.261476,10933202379.175655,12026522037.831345,12135854003.696915,6074003896.261476
mmap,2,4,0.5,2_kernel_entry,989,1706.596854107728,1659.8291318119127,1448.1546878700494,2896.309375740099,5792.618751480198,23170.47500592079,1630.1061522574298
mmap,2,4,0.5,3_filesystem,27,182574.7613892462,259878.18588906832,23170.47500592079,741455.2001894653,741455.2001894653,741455.2001894653,182574.7613892462
mmap,2,4,0.5,4_block_layer,81,3808.1104755101296,3528.538142223325,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3808.1104755101296
mmap,2,4,0.5,5_driver_ssd,112,307319.1126901369,550104.8465379031,185363.80004736633,370727.60009473265,741455.2001894653,5355530.91096856,258877.39802069677
mmap,2,4,0.5,6_context_switch,6709,4750427.000556652,148265145.38050345,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2961084.5089847883
fread,4,8,1.0,1_user_space,8,63718.806266282176,22434.715955411608,46340.95001184158,92681.90002368316,92681.90002368316,92681.90002368316,63718.806266282176
fread,4,8,1.0,2_kernel_entry,6832339,578.2833594549326,338.66857636336096,724.0773439350247,724.0773439350247,724.0773439350247,724.0773439350247,572.295025503344
fread,4,8,1.0,3_filesystem,38,87499.03061446403,177253.88209260046,11585.237502960395,240972.940061577,741455.2001894653,741455.2001894653,87499.03061446403
